"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Aerial/drone image of Nahma Golf Club on Big Bay de Noc, welcoming headline with ""since 1922"", mention $18 green fee, introduce lakeside setting as unique value."
"","Features List Section","Three key differentiators: lakeside setting, established 1922 heritage, affordable $18 green fees."
"","Feature Section","Full clubhouse experience with food, sandwiches, pizza, and a full bar; emphasize post-round gathering."
"","Feature Section","Active community calendar featuring three weekly leagues, seasonal scrambles, and private group outings."
"","About Section","Brief, direct introduction to Nahma Golf Club’s authentic public golf tradition and Michigan roots."
"","Stats Section","Highlight stats: 9 holes, par 36, 2,875 yards, open May–September, walk-ins welcome, no tee times required."
"","Testimonial Section","Quotes from local golfers about the lakeside experience, the course’s history, and welcoming atmosphere."
"","CTA Section","Encourage visitors to visit, play a round, or learn more about rates, leagues, and outings."
"","Newsletter Section","Invite visitors to sign up for club news, league updates, and event announcements."
"","Footer",""
"The Course","Navbar",""
"","Header Section","Lake-focused introduction with aerial course photo, ""since 1922"" in first 100 words, mention $18 green fee and public access."
"","Features List Section","Highlight three main features: lakeside layout on Big Bay de Noc, 9-hole (par 36, 2,875 yards) course, walk-ins welcome (no tee times required)."
"","Feature Section","Describe 18-hole play as replaying the 9-hole course with new strategy and changing wind off the bay."
"","Benefits Section","Emphasize approachable play for all skill levels, beautiful views on every hole, and relaxed Michigan golf tradition."
"","Stats Section","Key stats: Open May–September, $18 green fee, second oldest course in Delta County, established 1922, food/bar on site."
"","CTA Section","Direct users to explore the Hole-by-Hole, Scorecard, or Rates pages, or to visit the club to experience lakeside golf for themselves."
"","Footer",""
"Hole-by-Hole","Navbar",""
"","Header Section","Introduce the page with the lakeside setting front and center, referencing Big Bay de Noc in the first sentence. Mention Nahma Golf Club’s “since 1922” heritage and clarify that the 9-hole layout is replayed for 18-hole rounds."
"","Timeline Section","Sequential walkthrough of all 9 holes, each with name/number, yardage, par, and a short, direct description of the hole’s character, views, and challenges—include bay views and local landscape details as available."
"","Gallery Section","Photo gallery of each hole, focusing on unique features, lake views, and fairway perspectives."
"","FAQ Section","Short answers to common questions: playing the 9 holes twice for 18, green fee structure, walking policy, and any unique etiquette or tips for Nahma’s course."
"","CTA Section","Invite golfers to experience the 9-hole lakeside challenge for $18 and visit the clubhouse after their round."
"","Footer",""
"Scorecard","Navbar",""
"","Header Section","Intro leading with Big Bay de Noc, mention ""since 1922"" and $18 green fee, clarify this is a 9-hole scorecard (18-hole play is replaying the same 9)."
"","Stats Section","Course stats: 9 holes, par 36, 2,875 yards, walk-ins welcome, open May–September."
"","Gallery Section","Visual of the official scorecard (image or downloadable PDF), plus bay-side course photography."
"","How It Works Section","Brief guide for first-timers on how to play 18 holes at Nahma (replay same 9), tips for keeping score."
"","CTA Section","Prompt to visit, play a round, or check rates."
"","Footer",""
"Rates and Fees","Navbar",""
"","Header Section","Lake-focused intro: Nahma Golf Club overlooks Big Bay de Noc. Clearly state $18 green fee and ""since 1922"" within the first 100 words."
"","Features List Section","List main value points: $18 green fee, walk-ins always welcome (no tee times required), open May–September."
"","Pricing Section","Clear, direct table of all rates: 9-hole green fee, 18-hole (replay 9), league rates, cart rental price, junior/senior rates if applicable, outing/group rates."
"","FAQ Section","Address common questions: replaying for 18, payment types, what’s included, food/bar availability, group rates, and seasonal passes if offered."
"","CTA Section","Prompt for next action: “Ready to play on the lakeshore? Visit us or contact for group rates.”"
"","Footer",""
"Tee Times","Navbar",""
"","Header Section","Introduction that leads with Big Bay de Noc, mentions ""since 1922"" within the first 100 words, and highlights walk-ins always welcome, no tee time reservations required, $18 green fee, and open May–September."
"","Feature Section","Clear statement that Nahma is a walk-on course (no advance tee time booking), emphasizing the ease and tradition of showing up and playing."
"","Features List Section","List key points: 1) $18 green fee for 9 holes, 2) Walk-ins always welcome (no reservation needed), 3) Replay the 9-hole layout for 18-hole play."
"","FAQ Section","Answer common tee time questions: Can I call ahead? Can I bring a group? When are busiest times? Are there leagues or events that affect open play?"
"","CTA Section","Friendly closing invitation to visit Nahma Golf Club and enjoy a round on the lakeshore with no hassle—includes a prompt to check rates, leagues, or contact for group play."
"","Footer",""
"Golf Leagues","Navbar",""
"","Hero Header Section","Aerial/drone background, H1: ""Weekly Golf Leagues at Nahma Golf Club"", subtext: ""Three nights a week, May through September."" Mention Big Bay de Noc in subtitle. Include “Established 1922” and $18 green fee in first 100 words."
"","Header Section","Brief intro: Nahma Golf Club on Big Bay de Noc has offered weekly leagues since 1922. All skill levels are welcome at the only lakeside league play in Delta County. Walk-ins encouraged, no tee time required."
"","Features List Section","Three-column grid cards for each league:<br>• Men’s League — [Day TBD] · [Time TBD]: All male golfers welcome. Weekly, competitive but friendly. Show up or call ahead.<br>• [League Name TBD] — [Day TBD] · [Time TBD]: All golfers, all skill levels. Join solo or with a group. Walk-ins welcome.<br>• Women’s League — [Day TBD] · [Time TBD]: All female golfers welcome. Decades of tradition and friendships. Show up or call ahead."
"","Feature Section","Season notice bar: Leagues run May through September, following the course schedule. [League start times TBD — confirm with client.]"
"","Feature Section","Community two-column section: Left—3 paragraphs (see layout) on generational league participation, inclusive culture, and the real friendships formed at Nahma. Right—League night photo."
"","CTA Section","Centered, forest green. H2: ""Ready to join a league this season?"" Subtext: ""Three leagues run all summer. All skill levels welcome. Show up and play."" Button: ""See Rates"" → `/rates/`"
"","CTA Section","Inline link to “See Membership Rates” → `/rates/` in intro and/or league card descriptions."
"","Footer",""
"Clubhouse","Navbar",""
"","Hero Header Section","Aerial or interior photo, H1: ""The Nahma Golf Club Clubhouse"", subtext: ""Food, drinks, and good company on the shore of Big Bay de Noc."", mention $18 green fee if it fits naturally."
"","Header Section","Intro sentence leads with Big Bay de Noc, mentions ""since 1922"" and the authentic clubhouse tradition at Nahma."
"","Feature Section","Food and Bar: Photo left, right column with “After the Round” eyebrow, H2: ""Food, Drinks, and Good Company"". Three paragraphs: clubhouse as social hub since 1922, menu highlights, and why it’s perfect for group outings."
"","Features List Section","Menu Highlights: Snacks—Chips, pretzels, nuts; Sandwiches—Cold and hot, meal or turn food; Pizza—By the slice and whole, league night staple; Full Bar—Tap beer, mixed drinks, real bar atmosphere."
"","Feature Section","Small note: “Menu items subject to availability. Full menu posted in the clubhouse.”"
"","CTA Section","Group Outing Callout: H2: ""Hosting a group outing?"", copy about post-round events, button: ""Plan a Group Outing"" linking to /outings/."
"","Feature Section","Hours: H2: ""Clubhouse Hours"", card layout (hours TBD), season note: ""Open May through September. Closed October through April."""
"","Contact Section","Directions: Forest green section, address, phone, ""Get Directions"" button."
"","Footer",""
"Cart Rentals","Navbar",""
"","Header Section","H1: ""Golf Cart Rentals at Nahma Golf Club"". Subtext: ""Gas cart rentals available throughout the season. Walk or ride — your choice."" Emphasizes lakeside setting on Big Bay de Noc and ""since 1922"" within first 100 words."
"","Feature Section","Cart Rental Rates — H2: ""Cart Rental Rates"". Subtext: ""Gas cart rentals available on a first-come, first-served basis. Carts are well-maintained and easy to operate."" Table: 9 Holes [TBD], 18 Holes [TBD]. Note: ""18-hole play means replaying the 9-hole course. Cart rental covers the full 18."""
"","Feature Section","Cart Experience — Eyebrow: ""Riding the Course"". H2: ""What to Expect with a Cart"". 3 paragraphs: carts available at clubhouse; course is compact and flat, more time for the views; path along hardwoods and shoreline, slow down near Big Bay de Noc; rates posted at clubhouse, 18-hole play is replaying 9 with full cart round."
"","Feature Section","Club Rental Notice — H2: ""Important: Club Rentals Are Not Available"". Body: Nahma Golf Club does not offer club rentals. Bring your own clubs. If you need to rent, contact a retailer in Escanaba. Note: upfront for smooth trips."
"","Features List Section","Personal Cart Options — H2: ""Bring Your Own Cart"". 3 info cards: Annual Trail Fee [TBD], Cart Shed Storage [TBD], Cart Policies [TBD]."
"","CTA Section","Group Outings Callout — H2: ""Planning a group outing?"" Body: Cart rentals coordinated for groups/outings. Button: ""Plan a Group Outing"" → /outings/"
"","CTA Section","CTA Band — H2: ""Ready to get out on the course?"" Subtext: ""Green fees start at $18. Walk-ins always welcome."" Buttons: ""See Green Fees and Cart Rates"" → /rates/ + ""Book a Tee Time"" → /tee-times/"
"","Footer",""
"Group Outings","Navbar",""
"","Header Section","Big Bay de Noc featured in first sentence, clear headline about hosting group outings, mention ""since 1922"" within the first 100 words, $18 green fee naturally included."
"","Feature Section","Private group outings on the lake—no other course offers Nahma’s unique lakeside backdrop for your event."
"","Feature Section","Full clubhouse amenities for your group: sandwiches, pizza, snacks, and a full bar for post-round gatherings."
"","Feature Section","Experienced at hosting scrambles, reunions, fundraisers, and company outings—walk-in friendly, no tee time reservations needed."
"","FAQ Section","Answers to common questions: group size, food/bar options, seasonality (May–September), replaying 9 for 18 holes, how to book."
"","Contact Form Section","Simple booking inquiry form—request your date, group size, and event details."
"","Footer",""
"History","Navbar",""
"","Hero Header Section","Centered, forest green background. Eyebrow: ""Est. 1922"". H1: ""A Century of Golf in the Upper Peninsula"". Subtext: ""Nahma Golf Club has been part of this community for over 100 years."""
"","Header Section","Introductory paragraph, leads with Big Bay de Noc, mentions ""since 1922"" and $18 green fee in context if natural for meta/SEO."
"","Feature Section","“Founded in 1922” — Story of Nahma’s founding on the shore of Big Bay de Noc, second oldest in Delta County."
"","Feature Section","“A Public Club From the Start” — Open to all, no exclusivity, resilient through decades, always public, honest green fees."
"","Feature Section","“A Hundred Years and Counting” — Centennial season, greens reworked but character preserved, mission unchanged: public access and genuine welcome."
"","Stats Section","Sidebar with 3 stat cards: 1922 (Establishment year, Big Bay de Noc), 2nd Oldest in Delta County, 100+ Years of public operation."
"","Feature Section","“The Greens of Nahma” — Dish-shaped, early-era design, connection to original golf, round greens unique in the UP (Course Design)."
"","Testimonial Section","Sidebar pullquote: ""The round greens at Nahma are unlike anything else in the UP. Once you've putted them, you understand why the club has endured."""
"","Feature Section","“Big Bay de Noc, Then and Now” — Two columns. Left: Then (bay as economic lifeblood, golf as leisure for workers). Right: Now (bay as recreation, Nahma's shoreline view, internal link to Hole-by-Hole Guide)."
"","Gallery Section","Historic Photos: 3x2 grid, placeholders for course, clubhouse, first tee, 1930s/1960s/league play/greens work. Note included about sourcing from archives."
"","CTA Section","Forest green, centered. H2: ""Over a century of golf. Come add your round to the history."" Two buttons: ""Plan Your Visit"" (/tee-times/), ""The Course"" (/the-course/)."
"","Footer",""
"About","Navbar",""
"","Hero Header Section","Centered forest green hero: H1 ""About Nahma Golf Club"". Subtext: ""Public golf on the shore of Big Bay de Noc since 1922."""
"","Header Section","N/A"
