"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Aerial/drone image of Nahma Golf Club on Big Bay de Noc, welcoming headline with ""since 1922"", mention $18 green fee, introduce lakeside setting as unique value."
"","Features List Section","Three key differentiators: lakeside setting, established 1922 heritage, affordable $18 green fees."
"","Feature Section","Full clubhouse experience with food, sandwiches, pizza, and a full bar; emphasize post-round gathering."
"","Feature Section","Active community calendar featuring three weekly leagues, seasonal scrambles, and private group outings."
"","About Section","Brief, direct introduction to Nahma Golf Club’s authentic public golf tradition and Michigan roots."
"","Stats Section","Highlight stats: 9 holes, par 36, 2,875 yards, open May–September, walk-ins welcome, no tee times required."
"","Testimonial Section","Quotes from local golfers about the lakeside experience, the course’s history, and welcoming atmosphere."
"","CTA Section","Encourage visitors to visit, play a round, or learn more about rates, leagues, and outings."
"","Newsletter Section","Invite visitors to sign up for club news, league updates, and event announcements."
"","Footer",""
"The Course","Navbar",""
"","Header Section","Lake-focused introduction with aerial course photo, ""since 1922"" in first 100 words, mention $18 green fee and public access."
"","Features List Section","Highlight three main features: lakeside layout on Big Bay de Noc, 9-hole (par 36, 2,875 yards) course, walk-ins welcome (no tee times required)."
"","Feature Section","Describe 18-hole play as replaying the 9-hole course with new strategy and changing wind off the bay."
"","Benefits Section","Emphasize approachable play for all skill levels, beautiful views on every hole, and relaxed Michigan golf tradition."
"","Stats Section","Key stats: Open May–September, $18 green fee, second oldest course in Delta County, established 1922, food/bar on site."
"","CTA Section","Direct users to explore the Hole-by-Hole, Scorecard, or Rates pages, or to visit the club to experience lakeside golf for themselves."
"","Footer",""
"Hole-by-Hole","Navbar",""
"","Header Section","Introduce the page with the lakeside setting front and center, referencing Big Bay de Noc in the first sentence. Mention Nahma Golf Club’s “since 1922” heritage and clarify that the 9-hole layout is replayed for 18-hole rounds."
"","Timeline Section","Sequential walkthrough of all 9 holes, each with name/number, yardage, par, and a short, direct description of the hole’s character, views, and challenges—include bay views and local landscape details as available."
"","Gallery Section","Photo gallery of each hole, focusing on unique features, lake views, and fairway perspectives."
"","FAQ Section","Short answers to common questions: playing the 9 holes twice for 18, green fee structure, walking policy, and any unique etiquette or tips for Nahma’s course."
"","CTA Section","Invite golfers to experience the 9-hole lakeside challenge for $18 and visit the clubhouse after their round."
"","Footer",""
"Scorecard","Navbar",""
"","Header Section","Intro leading with Big Bay de Noc, mention ""since 1922"" and $18 green fee, clarify this is a 9-hole scorecard (18-hole play is replaying the same 9)."
"","Stats Section","Course stats: 9 holes, par 36, 2,875 yards, walk-ins welcome, open May–September."
"","Gallery Section","Visual of the official scorecard (image or downloadable PDF), plus bay-side course photography."
"","How It Works Section","Brief guide for first-timers on how to play 18 holes at Nahma (replay same 9), tips for keeping score."
"","CTA Section","Prompt to visit, play a round, or check rates."
"","Footer",""
"Rates and Fees","Navbar",""
"","Header Section","Lake-focused intro: Nahma Golf Club overlooks Big Bay de Noc. Clearly state $18 green fee and ""since 1922"" within the first 100 words."
"","Features List Section","List main value points: $18 green fee, walk-ins always welcome (no tee times required), open May–September."
"","Pricing Section","Clear, direct table of all rates: 9-hole green fee, 18-hole (replay 9), league rates, cart rental price, junior/senior rates if applicable, outing/group rates."
"","FAQ Section","Address common questions: replaying for 18, payment types, what’s included, food/bar availability, group rates, and seasonal passes if offered."
"","CTA Section","Prompt for next action: “Ready to play on the lakeshore? Visit us or contact for group rates.”"
"","Footer",""
"Tee Times","Navbar",""
"","Header Section","Introduction that leads with Big Bay de Noc, mentions ""since 1922"" within the first 100 words, and highlights walk-ins always welcome, no tee time reservations required, $18 green fee, and open May–September."
"","Feature Section","Clear statement that Nahma is a walk-on course (no advance tee time booking), emphasizing the ease and tradition of showing up and playing."
"","Features List Section","List key points: 1) $18 green fee for 9 holes, 2) Walk-ins always welcome (no reservation needed), 3) Replay the 9-hole layout for 18-hole play."
"","FAQ Section","Answer common tee time questions: Can I call ahead? Can I bring a group? When are busiest times? Are there leagues or events that affect open play?"
"","CTA Section","Friendly closing invitation to visit Nahma Golf Club and enjoy a round on the lakeshore with no hassle—includes a prompt to check rates, leagues, or contact for group play."
"","Footer",""
"Golf Leagues","Navbar",""
"","Header Section","Lakefront intro: Highlight active weekly leagues at Nahma Golf Club on Big Bay de Noc, established 1922, welcoming new and returning players, $18 green fee applies for league play."
"","Feature Section","Men’s League — Weekly competition, all skill levels welcome, runs May through September."
"","Feature Section","Women’s League — Supportive, social league for local golfers, meets weekly during the season."
"","Feature Section","Mixed League — Open to all, relaxed format focused on fun and camaraderie, weekly play."
"","Features List Section","League benefits: lakeside setting, affordable play, post-round clubhouse gatherings."
"","CTA Section","Prompt to join a league or request more info (phone/email), mention walk-ins welcome."
"","FAQ Section","Common questions: How to join, league fees, schedule, rain policy, skill level, contact info."
"","Footer",""
"Clubhouse","Navbar",""
"","Header Section","Bay view photo with headline introducing the clubhouse, leading with Big Bay de Noc and ""since 1922"" in first 100 words, mention welcoming atmosphere."
"","Feature Section","Highlight the full bar: locally favored beers, cocktails, and soft drinks in a relaxed lakeside setting."
"","Feature Section","Food options: fresh sandwiches, pizza, and classic golf course snacks available to all players and guests."
"","Feature Section","Post-round gathering: indoor and outdoor seating for league nights, group outings, or unwinding after your round."
"","Stats Section","Quick stats: clubhouse hours (May–September, open daily), seating capacity, menu highlights, and bar offerings."
"","Testimonial Section","Short quotes from golfers about the clubhouse’s friendly staff, food, and community feel."
"","CTA Section","Prompt to plan your visit, join a league night, or book a group outing at the clubhouse."
"","Footer",""
"Cart Rentals","Navbar",""
"","Header Section","Lake-focused header mentioning Big Bay de Noc, convenient cart rentals for your round at Nahma Golf Club, established 1922, and $18 green fee highlighted early."
"","Feature Section","Overview of golf cart rentals: Easy, on-site availability for all players, with details on rental process and where to get keys (clubhouse)."
"","Features List Section","List up to three key points: Cart capacity (single or double riders), pricing per round, safety info/rules (e.g., must be 16+ with valid license)."
"","FAQ Section","Address common questions: reservation policy (first-come, first-served), what’s included, rental hours, and weather policy."
"","CTA Section","Invite visitors to check in at the clubhouse for rentals or to contact the club with questions about availability."
"","Footer",""
"Group Outings","Navbar",""
"","Header Section","Big Bay de Noc featured in first sentence, clear headline about hosting group outings, mention ""since 1922"" within the first 100 words, $18 green fee naturally included."
"","Feature Section","Private group outings on the lake—no other course offers Nahma’s unique lakeside backdrop for your event."
"","Feature Section","Full clubhouse amenities for your group: sandwiches, pizza, snacks, and a full bar for post-round gatherings."
"","Feature Section","Experienced at hosting scrambles, reunions, fundraisers, and company outings—walk-in friendly, no tee time reservations needed."
"","FAQ Section","Answers to common questions: group size, food/bar options, seasonality (May–September), replaying 9 for 18 holes, how to book."
"","Contact Form Section","Simple booking inquiry form—request your date, group size, and event details."
"","Footer",""
"History","Navbar",""
"","Header Section","Intro: Nahma Golf Club on Big Bay de Noc, established 1922. Emphasize lakeside origin and unique heritage within first 100 words."
"","Timeline Section","Chronological timeline: founding in 1922, key milestones (first leagues, clubhouse updates, notable events, course improvements, community moments)."
"","Feature Section","Spotlight the club’s status as Delta County’s second oldest golf course and its continuous operation as a welcoming public facility."
"","Gallery Section","Historic and current photos: course with the bay, vintage scorecards, league nights, original clubhouse."
"","About Section","Short narrative: Nahma’s role in the local community over generations, local traditions, and stories from long-time members."
"","Testimonial Section","Quotes/anecdotes from older members and community about the club’s place in local history and Michigan golf."
"","CTA Section","Prompt: “Share your Nahma story” or invitation to learn more about the club’s legacy via contact or visit."
"","Footer",""
"About","Navbar",""
"","Header Section","Welcome to Nahma Golf Club, set on the shores of Big Bay de Noc in Michigan’s Upper Peninsula. Established in 1922, the club has offered honest, affordable golf for generations."
"","Feature Section","Lakeside setting: The only public course in the region with direct access to Big Bay de Noc, providing unforgettable bay views on every round."
"","Feature Section","Historic roots: Since 1922, Nahma’s fairways have welcomed golfers seeking a classic, laid-back golf experience in Delta County."
"","Feature Section","Community hub: Home to three weekly leagues, a full clubhouse, and a season full of scrambles and outings—Nahma brings people together."
"","About Section","Nahma is a public 9-hole course (par 36, 2,875 yards), open May through September. Play 18 holes by replaying the original 9. Walk-ins are always welcome, and $18 green fees keep golf accessible for everyone."
"","Team Section","Meet the people behind Nahma Golf Club—dedicated staff and volunteers who keep the course and clubhouse running."
"","Timeline Section","A visual timeline highlighting key moments in Nahma’s history (establishment, clubhouse opening, league milestones)."
"","CTA Section","Invite golfers to visit, join a league, or book a group outing—experience Michigan golf rooted in tradition."
"","Footer",""
"Contact","Navbar",""
"","Header Section","Lakefront context in first sentence. Welcome note inviting questions about playing Nahma, leagues, outings, or the clubhouse. Mention ""since 1922"" within 100 words."
"","Contact Section","Display canonical address, phone, and email for Nahma Golf Club."
"","Contact Form Section","Simple form: Name, Email, Phone (optional), Message. Note: No tee time reservations required."
"","Locations Section","Map embed or static map showing the club’s location on Big Bay de Noc."
"","FAQ Section","Answer common questions: Are walk-ins welcome? When is the course open? How do I join a league or book an outing?"
"","CTA Section","Encourage a visit to experience the lakeside course or reach out for group outings."
"","Footer",""
"Golf Near Escanaba","Navbar",""
"","Header Section","Introduce Nahma Golf Club as the best lakeside option for Escanaba-area golfers, highlighting Big Bay de Noc in the opening sentence and noting “since 1922” within the first 100 words. Mention the $18 green fee and public access."
"","Features List Section","Three reasons for Escanaba golfers to choose Nahma: (1) Only local course on Big Bay de Noc, (2) Historic 1922 course with classic layout, (3) $18 green fee—affordable, walk-in friendly, no tee time required."
"","Feature Section","Full clubhouse experience: food, sandwiches, pizza, and a full bar for post-round relaxation."
"","Feature Section","Active calendar: weekly leagues, seasonal scrambles, and private group outings—easy to join or book for Escanaba groups."
"","Stats Section","Snapshot for Escanaba golfers: 9 holes, par 36, 2,875 yards, open May–September, walk-ins welcome."
"","CTA Section","Direct CTA inviting Escanaba golfers to visit Nahma Golf Club, view rates, or contact for group outings."
"","Locations Section","Quick directions and travel time from Escanaba, parking info, and reassurance about easy access from the city."
"","FAQ Section","Address common questions from Escanaba golfers (e.g., “How far is Nahma from Escanaba?”, “Are tee times required?”, “What’s the green fee?”, “Can I bring a group?”, “Is food available at the clubhouse?”)."
"","Footer",""
"Golf Near Rapid River","Navbar",""
"","Header Section","Introduce Nahma Golf Club as the closest lakeside golf course to Rapid River, always leading with Big Bay de Noc, and mention ""since 1922"" within the first 100 words. Highlight $18 green fee and direct, welcoming tone for local golfers."
"","Feature Section","Emphasize unique lakeside setting—no other course near Rapid River offers play right on Big Bay de Noc."
"","Feature Section","Highlight the club’s history as Delta County’s second oldest course, inviting Rapid River golfers to experience tradition and authenticity."
